name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Bogotá ,2023-01-16,19.3,9.4,14.1,19.3,8.8,14.1,10.7,81.2,1.2,100,41.67,rain,0,0,29.9,22.1,270.4,1025.7,59.7,9.8,172.2,14.9,6,10,2023-01-16T06:09:33,2023-01-16T18:02:35,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-01-17,18.3,9,13.4,18.3,7.9,13.3,10.6,84.5,5.2,100,58.33,rain,0,0,31.7,27.1,271.3,1025,64.8,9.2,178.4,15.4,7,10,2023-01-17T06:09:49,2023-01-17T18:02:59,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-01-18,19.3,9,13.2,19.3,9,13.2,10.2,83.6,1.5,100,45.83,rain,0,0,32,27.2,343.7,1025.4,68.8,9.8,189.7,16.4,7,10,2023-01-18T06:10:04,2023-01-18T18:03:23,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-01-19,19.2,6,12.4,19.2,6,12.4,9.5,84.7,9.8,100,62.5,rain,0,0,28.8,19.9,12.3,1026.1,57.8,9.3,197.9,17.2,7,10,2023-01-19T06:10:19,2023-01-19T18:03:46,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-01-20,18.3,9,13.2,18.3,7.9,13.1,9.9,82,2.5,100,58.33,rain,0,0,30.2,21.9,75.3,1026.1,77.5,10,188.9,16.2,6,10,2023-01-20T06:10:32,2023-01-20T18:04:08,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-01-21,20,9.3,13,20,7.9,12.9,8.7,77.8,0.9,100,25,rain,0,0,32.4,14.8,47.8,1025,69.3,10.3,211.4,18.2,8,10,2023-01-21T06:10:45,2023-01-21T18:04:30,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-01-22,19.1,8,13.3,19.1,7.2,13,7.8,72.1,0.1,100,4.17,rain,0,0.1,44.3,25.4,107.6,1024.7,51.1,11,198.7,17.1,7,10,2023-01-22T06:10:57,2023-01-22T18:04:51,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-01-23,17.1,7.5,12.7,17.1,7.4,12.7,8.6,77.3,1.8,100,33.33,rain,0,0,46.4,21.8,73.1,1026.1,62.4,11,155.2,13.4,6,10,2023-01-23T06:11:08,2023-01-23T18:05:12,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-01-24,19.2,10,13.9,19.2,8.8,13.8,7.9,68.9,0.8,100,29.17,rain,0,0,47.5,23.6,107.2,1026,68.9,10.9,221.2,19.2,8,10,2023-01-24T06:11:18,2023-01-24T18:05:32,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-01-25,20.3,5.6,12.4,20.3,3.9,12.1,8.2,77.9,0,0,0,rain,0,0,37.8,20.6,357.6,1024.8,41.2,11.5,244.1,20.9,9,10,2023-01-25T06:11:27,2023-01-25T18:05:51,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-01-26,22.3,7,13.2,22.3,5.6,12.9,5.9,70.3,0,0,0,,0,0,36.7,25.4,9.4,1024.6,28,10.8,301.3,26,10,10,2023-01-26T06:11:35,2023-01-26T18:06:09,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-01-27,22.3,3,12.4,22.3,1.8,12.1,6.5,73.2,0.1,100,4.17,rain,0,0,42.5,28.7,343.3,1025,32.9,10.3,300.9,26.4,10,10,2023-01-27T06:11:42,2023-01-27T18:06:27,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-01-28,20.3,5.1,12.4,20.3,4.4,12.3,7.8,76.3,0,0,0,,0,0,38.9,23.8,290.2,1024.7,39.7,9.9,293.1,25.2,10,10,2023-01-28T06:11:49,2023-01-28T18:06:44,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-01-29,20.4,3,12,20.4,0.9,11.9,7.1,76.7,0.3,100,12.5,rain,0,0,38.5,25.8,284.7,1024.1,21.1,12.3,290.9,25,10,10,2023-01-29T06:11:54,2023-01-29T18:07:00,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-01-30,21.3,4,12.5,21.3,2.1,12.3,7.6,74.8,1.6,100,33.33,rain,0,0,31,22.9,304.9,1025.2,36,10.6,274.1,23.8,10,10,2023-01-30T06:11:59,2023-01-30T18:07:16,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-01-31,19.6,5,12.6,19.6,3.3,12.5,9,81.4,0.7,100,20.83,rain,0,0,30.2,24.2,291.5,1024.7,33.8,10,276.2,24,9,10,2023-01-31T06:12:02,2023-01-31T18:07:31,0.33,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-02-01,20.4,4.3,12.3,20.4,3.1,12.1,7.9,76.8,0.5,100,20.83,rain,0,0,31.7,28.9,287.1,1025.2,50.5,9.5,275.2,23.6,10,10,2023-02-01T06:12:05,2023-02-01T18:07:45,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-02-02,20.6,9,14.1,20.6,7.1,13.9,9.3,75.5,1,100,29.17,rain,0,0,38.9,21.9,311.3,1025.5,52.5,9,262.4,22.7,9,10,2023-02-02T06:12:07,2023-02-02T18:07:58,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-02-03,20.3,5.1,13.1,20.3,3.3,12.7,6.9,69.1,0.6,100,12.5,rain,0,0,38.5,27.2,306,1025.9,34.2,10.7,296.1,25.6,10,10,2023-02-03T06:12:08,2023-02-03T18:08:11,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-02-04,20.3,8.4,13.8,20.3,6.9,13.6,7.4,66.4,0.5,100,20.83,rain,0,0,41.4,36.5,324.6,1027.1,59.3,10.3,266.9,23,9,10,2023-02-04T06:12:08,2023-02-04T18:08:23,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-02-05,20.3,5.7,12.9,20.3,5.7,12.8,7.3,71.6,0,0,0,rain,0,0,47.9,26.2,91.3,1026.9,44.9,10.8,241.1,20.9,8,10,2023-02-05T06:12:07,2023-02-05T18:08:34,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-02-06,19.4,8,13.6,19.4,6.3,13.3,7.9,71.4,1,100,37.5,rain,0,0,37.8,29.9,109.7,1025.9,53.5,10.8,209.3,18.1,7,10,2023-02-06T06:12:05,2023-02-06T18:08:44,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-02-07,22.3,5.4,14,22.3,5.4,14,8.3,72.2,1.2,100,29.17,rain,0,0,46.4,34.9,106.9,1025.2,49.2,10.9,246.7,21.2,9,10,2023-02-07T06:12:03,2023-02-07T18:08:54,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-02-08,22.3,6.3,13.7,22.3,5.2,13.6,9.3,77.4,1.2,100,20.83,rain,0,0,41.8,18.2,43.1,1025.2,43.7,10.4,258.3,22.3,9,10,2023-02-08T06:11:59,2023-02-08T18:09:03,0.6,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-02-09,20.4,10.3,14.3,20.4,10.3,14.3,9.2,73.2,1,100,41.67,rain,0,0,36.7,16.9,22.7,1025.1,68.7,10.6,219.8,19.1,8,10,2023-02-09T06:11:55,2023-02-09T18:09:11,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-02-10,20,6.1,13.7,20,4.2,13.6,8.9,75.8,2.2,100,58.33,rain,0,0,34.6,18.2,88.2,1024.8,43.6,10.6,236.7,20.5,9,10,2023-02-10T06:11:49,2023-02-10T18:09:19,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-02-11,22.1,10.9,15,22.1,10.9,15,10.2,75.6,3,100,66.67,rain,0,0,35.6,25.3,28,1024.2,52.1,10.8,218.2,18.9,8,10,2023-02-11T06:11:43,2023-02-11T18:09:25,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-02-12,19.4,9,14.1,19.4,8,14,9.6,76.5,1,100,41.67,rain,0,0,36.4,16.3,75.5,1023.9,60.8,10.8,179.1,15.5,6,10,2023-02-12T06:11:36,2023-02-12T18:09:32,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-02-13,20.4,6.3,13.4,20.4,6.3,13.4,9.4,79.3,1.4,100,41.67,rain,0,0,35.3,16.3,353.5,1024.4,53.2,10.8,196.7,16.9,7,10,2023-02-13T06:11:29,2023-02-13T18:09:37,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-02-14,20.3,9,14.3,20.3,8.2,14.3,10.4,79.4,1.4,100,33.33,rain,0,0,34.9,25.5,319.7,1025,61,10.8,201.4,17.4,7,10,2023-02-14T06:11:20,2023-02-14T18:09:42,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-02-15,20.2,9.3,14.5,20.2,9.3,14.5,10.1,77.5,3.2,100,54.17,rain,0,0,36.7,21,81.3,1025.6,58.6,10.6,212.5,18.5,8,10,2023-02-15T06:11:11,2023-02-15T18:09:46,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-02-16,20,10,13.7,20,10,13.7,10.5,83,10.1,100,62.5,rain,0,0,31.7,22.5,53.6,1025,64.7,10.7,194.2,16.8,7,10,2023-02-16T06:11:00,2023-02-16T18:09:49,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-02-17,20.4,8.7,14.1,20.4,7.5,14,10.5,80.6,11.7,100,54.17,rain,0,0,37.1,26.6,317.1,1024,62.9,9.8,186.1,16.2,8,10,2023-02-17T06:10:49,2023-02-17T18:09:52,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-02-18,19.1,11.1,14,19.1,11.1,14,11.8,87.4,6.9,100,66.67,rain,0,0,25.2,17.5,290.3,1024.5,87.2,10,128,11.1,5,10,2023-02-18T06:10:38,2023-02-18T18:09:54,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-02-19,20.3,9,14.1,20.3,9,14.1,9.6,76.4,2.6,100,58.33,rain,0,0,37.8,23.7,348.5,1024.8,61.4,10,193.3,16.7,8,10,2023-02-19T06:10:25,2023-02-19T18:09:55,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-02-20,20.3,9,13.7,20.3,7.9,13.6,8.6,74,2.3,100,41.67,rain,0,0,29.5,19.5,318.8,1024.7,68,9.4,175,15.3,7,10,2023-02-20T06:10:12,2023-02-20T18:09:56,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-02-21,17.6,10,13.3,17.6,10,13.3,10.6,85,11.6,100,91.67,rain,0,0,27,20,349.1,1025.4,85.4,7,177.1,15.2,8,10,2023-02-21T06:09:58,2023-02-21T18:09:56,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-02-22,19.3,10.1,13.4,19.3,10.1,13.4,9.5,79.7,8.2,100,79.17,rain,0,0,31,23.5,323.4,1027.1,88,9.6,168.8,14.6,7,10,2023-02-22T06:09:44,2023-02-22T18:09:55,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-02-23,22.3,8.4,14.6,22.3,7.3,14.5,9.7,77,0.5,100,16.67,rain,0,0,37.8,23.8,2.4,1027.4,54.6,9.4,257.5,22.4,9,10,2023-02-23T06:09:28,2023-02-23T18:09:54,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-02-24,21.3,8.1,14.5,21.3,8.1,14.5,9.5,73.9,0.9,100,37.5,rain,0,0,31.7,21.3,273.9,1027,46.6,9,221.4,19.1,8,10,2023-02-24T06:09:13,2023-02-24T18:09:53,0.14,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-02-25,20.3,9,14,20.3,7.9,13.9,9.1,74.5,1.3,100,37.5,rain,0,0,37.1,32.8,307.9,1026.4,50.7,9.7,284.2,24.6,10,10,2023-02-25T06:08:56,2023-02-25T18:09:51,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-02-26,20.2,6.1,13.1,20.2,6,12.9,9.1,78.8,0.4,100,16.67,rain,0,0,36,27.6,279.3,1025.9,38.4,10.5,242.8,21,9,10,2023-02-26T06:08:39,2023-02-26T18:09:48,0.21,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-02-27,22.1,8.1,14.1,22.1,8.1,14.1,10.2,80,6,100,87.5,rain,0,0,38.9,25,293.4,1026.4,57,9.3,207.3,17.9,8,10,2023-02-27T06:08:21,2023-02-27T18:09:45,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-02-28,21.3,9.3,15.1,21.3,9.3,15.1,10.1,74.1,2,100,37.5,rain,0,0,39.6,15,108.6,1027.1,46.6,10.3,189.7,16.4,7,10,2023-02-28T06:08:03,2023-02-28T18:09:41,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-03-01,19.3,10.1,15.1,19.3,10.1,15.1,10.5,75.5,2.4,100,41.67,rain,0,0,32.8,19.8,116.1,1026.8,64.5,10.5,153.8,13.3,5,10,2023-03-01T06:07:44,2023-03-01T18:09:37,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-03-02,19.8,12,15.5,19.8,12,15.5,11.1,76.4,3.2,100,66.67,rain,0,0,36,19.6,88.8,1024.8,84.2,10.2,113.1,9.7,5,10,2023-03-02T06:07:25,2023-03-02T18:09:32,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-03-03,20.2,13,16.1,20.2,13,16.1,10.6,70.4,2.8,100,66.67,rain,0,0,36.7,23,109.9,1024.2,74.9,10.7,144.2,12.5,6,10,2023-03-03T06:07:05,2023-03-03T18:09:27,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogotá ,2023-03-04,18,12.1,15.2,18,12.1,15.2,11.6,79.5,5.8,100,83.33,rain,0,0,41,21.1,54.8,1024.9,86.3,10.4,121,10.5,6,10,2023-03-04T06:06:44,2023-03-04T18:09:21,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
